City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
77,Bage,BR,-31.3314,-54.1069,67.78,77,0,10.36,clear sky
78,Itaueira,BR,-7.6033,-43.0256,73.4,49,81,5.64,broken clouds
79,Miracema Do Tocantins,BR,-9.5618,-48.3967,74.1,42,0,3.42,clear sky
80,Pirapora,BR,-17.345,-44.9419,62.47,62,0,2.42,clear sky
81,Belmonte,BR,-15.8631,-38.8828,69.87,78,0,5.53,clear sky
82,Fare,PF,-16.7,-151.0167,78.31,76,13,24.32,light rain
83,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,73.99,35,0,6.46,clear sky
84,Puerto Leguizamo,CO,-0.1934,-74.7819,68.92,99,96,2.35,overcast clouds
85,Ipixuna,BR,-1.7625,-48.8043,77.13,84,94,3.31,overcast clouds
86,San Juan,AR,-31.5375,-68.5364,50.43,71,99,12.62,overcast clouds
87,Sao Francisco,BR,-15.9486,-44.8644,65.17,55,0,4.7,clear sky
88,Vallenar,CL,-28.5708,-70.7581,61.07,60,91,2.26,overcast clouds
89,Buchanan,LR,5.8808,-10.0467,74.7,85,100,10.6,light rain
90,General Pico,AR,-35.6566,-63.7568,46.0,89,43,10.0,scattered clouds
91,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,72.64,87,76,5.19,broken clouds
92,Mapiri,BO,-15.25,-68.1667,67.53,79,15,1.81,few clouds
93,Palmas,BR,-10.2128,-48.3603,75.07,57,0,6.91,clear sky
94,Itapecerica,BR,-20.4725,-45.1256,61.14,56,8,3.06,clear sky
95,Talcahuano,CL,-36.7167,-73.1167,51.48,87,40,5.75,scattered clouds
96,Pocone,BR,-16.2567,-56.6228,75.2,32,0,2.77,clear sky
97,Braco Do Norte,BR,-28.275,-49.1656,63.52,84,100,2.66,overcast clouds
98,Chicama,PE,-7.8447,-79.1469,59.54,84,43,7.72,scattered clouds
99,Pangoa,PE,-12.1167,-73.0,71.46,77,85,2.51,overcast clouds
100,Guiratinga,BR,-16.3494,-53.7583,68.59,33,0,4.36,clear sky
101,Aracuai,BR,-16.8497,-42.0703,62.56,80,0,2.15,clear sky
102,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,58.91,97,100,5.59,overcast clouds
103,Conde,BR,-7.2597,-34.9075,72.86,94,0,6.91,clear sky
104,Taltal,CL,-25.4,-70.4833,60.01,79,100,3.89,overcast clouds
105,Talara,PE,-4.5772,-81.2719,68.76,73,0,13.8,clear sky
106,Navirai,BR,-23.065,-54.1906,68.86,52,11,4.9,few clouds
107,Barreiras,BR,-12.1528,-44.99,66.2,47,0,2.89,clear sky
108,Bonthe,SL,7.5264,-12.505,74.08,91,85,6.53,light rain
109,General Roca,AR,-39.0333,-67.5833,47.62,57,1,12.19,clear sky
110,Santiago Del Estero,AR,-27.7951,-64.2615,71.8,45,52,16.46,broken clouds
111,Rafaela,AR,-31.2503,-61.4867,57.0,64,100,5.01,overcast clouds
112,Tandil,AR,-37.3217,-59.1332,46.69,94,100,13.22,overcast clouds
113,San Rafael,AR,-34.6177,-68.3301,47.14,65,79,2.26,broken clouds
114,Rio De Janeiro,BR,-22.9028,-43.2075,73.54,72,0,4.61,clear sky
115,Tucuma,BR,-0.1833,-50.05,76.24,85,51,4.85,broken clouds
116,Pozo Colorado,PY,-23.4923,-58.7972,74.93,31,37,5.5,scattered clouds
117,Iquique,CL,-20.2208,-70.1431,59.04,79,59,2.55,broken clouds
