City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
172,Satipo,PE,72.5,broken clouds,-11.2522,-74.6386,Bungalows El Palmiche
173,Mumford,GH,74.32,scattered clouds,5.2618,-0.759,Spanish Villa
174,Carauari,BR,75.69,clear sky,-4.8828,-66.8958,Hotel Fellip
176,San Ramon,US,84.33,clear sky,37.7799,-121.978,San Ramon Marriott
177,Iquitos,PE,73.44,scattered clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
182,Sidrolandia,BR,71.49,clear sky,-20.9319,-54.9614,Agropet São Francisco
183,Diamantino,BR,71.33,clear sky,-14.4086,-56.4461,Hotel Delta
184,Aripuana,BR,73.56,clear sky,-9.1667,-60.6333,
185,Alta Floresta,BR,71.71,clear sky,-9.8756,-56.0861,Floresta Amazonica Hotel
186,Soure,BR,78.82,broken clouds,-0.7167,-48.5233,Casarão da Amazônia
188,San Patricio,US,87.75,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
190,Porto Nacional,BR,75.2,clear sky,-10.7081,-48.4172,Vila Real Hotel
195,Itaituba,BR,79.09,scattered clouds,-4.2761,-55.9836,Hotel Campos
196,Lano,NG,72.46,overcast clouds,10.1725,11.4715,Lano
197,Uarini,BR,75.63,scattered clouds,-2.99,-65.1083,
198,Vaitape,PF,78.69,few clouds,-16.5167,-151.75,Conrad Bora Bora Nui
199,Omboue,GA,70.84,broken clouds,-1.5746,9.2618,Hotel Olako
200,Barreirinha,BR,80.46,overcast clouds,-2.7933,-57.07,Hotel e Restaurante Tupana Iwato
201,Cobija,BO,76.5,few clouds,-11.0267,-68.7692,Hotel Obelisco
203,Parelhas,BR,70.48,few clouds,-6.6878,-36.6575,Chácara R.I. - Recanto da Intrigante
205,Urubicha,BO,73.42,clear sky,-15.3833,-62.95,
207,San Matias,BO,76.82,clear sky,-16.3667,-58.4,"HOTEL ""SAN JOSE"""
208,Aquiraz,BR,79.18,overcast clouds,-3.9014,-38.3911,Pousada Rua Camurupim
209,Pitimbu,BR,73.99,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
210,Maragogi,BR,71.98,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
211,Cururupu,BR,73.96,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
212,Coahuayana,MX,79.59,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
213,Nova Olimpia,BR,73.45,clear sky,-14.7972,-57.2881,Motel glamour
217,Aracati,BR,78.19,overcast clouds,-4.5617,-37.7697,Hostel Pousada Ibiza
